Addam_Marbrand:'siblings':[]| 'fmc':[['Damon_Marbrand'], []]| 'love':[]
Addison_Hill:'siblings':[]| 'fmc':[[], []]| 'love':[]
Adrack_Humble:'siblings':[]| 'fmc':[[], []]| 'love':[]
Adrian_Tarbeck:'siblings':[]| 'fmc':[[], []]| 'love':[]
Aegon_Blackfyre:'siblings':['Aemon_Blackfyre', 'Haegon_Blackfyre', 'Calla_Blackfyre']| 'fmc':[['Daemon_I_Blackfyre'], []]| 'love':[]
Aegon_Frey:'siblings':['Ryman_Frey']| 'fmc':[['Stevron_Frey'], []]| 'love':[]
Aegon_Frey_(son_of_Aenys):'siblings':['Rhaegar_Frey']| 'fmc':[['Aenys_Frey', 'Tyana_Wylde'], []]| 'love':[]
Aegon_I_Targaryen:'siblings':['Visenya_Targaryen', 'Rhaenys_Targaryen', 'Orys_Baratheon']| 'fmc':[['Aerion_Targaryen_(son_of_Daemion)', 'Valaena_Velaryon'], ['Aenys_I_Targaryen', 'Maegor_I_Targaryen']]| 'love':['Visenya_Targaryen', 'Rhaenys_Targaryen']
Aegon_II_Targaryen:'siblings':['Rhaenyra_Targaryen', 'Baelon_Targaryen_(son_of_Viserys_I)', 'Helaena_Targaryen', 'Aemond_Targaryen']| 'fmc':[['Viserys_I_Targaryen', 'Alicent_Hightower'], ['Jaehaera_Targaryen', 'Maelor_Targaryen']]| 'love':['Helaena_Targaryen']
Aegon_III_Targaryen:'siblings':['Jacaerys_Velaryon', 'Lucerys_Velaryon', 'Joffrey_Velaryon', 'Baela_Targaryen', 'Rhaena_Targaryen_(daughter_of_Laena_Velaryon)', 'Viserys_II_Targaryen', 'Visenya_Targaryen_(daughter_of_Rhaenyra)']| 'fmc':[['Daemon_Targaryen', 'Rhaenyra_Targaryen'], ['Daeron_I_Targaryen', 'Baelor_I_Targaryen', 'Daena_Targaryen', 'Rhaena_Targaryen', 'Elaena_Targaryen']]| 'love':['Jaehaera_Targaryen', 'Daenaera_Velaryon']
Aegon_IV_Targaryen:'siblings':['Naerys_Targaryen', 'Aemon_Targaryen_(the_Dragonknight)']| 'fmc':[['Viserys_II_Targaryen', 'Larra_Rogare'], ['Daeron_II_Targaryen', 'Daenerys_Martell', 'Daemon_Blackfyre', 'Alysanne_(daughter_of_Aegon_IV)', 'Lily', 'Willow_(daughter_of_Aegon_IV)', 'Rosey_(daughter_of_Aegon_IV)', 'Bellanora_Otherys', 'Narha_Otherys', 'Balerion_Otherys', 'Aegor_Rivers', 'Mya_Rivers', 'Gwenys_Rivers', 'Brynden_Rivers', 'Shiera_Seastar']]| 'love':['Naerys_Targaryen']
Aegon_Targaryen_(Son_of_Aenys_I):'siblings':['Rhaena_Targaryen_(Daughter_of_Aenys_I)', 'Viserys_Targaryen_(Son_of_Aenys_I)', 'Jaehaerys_I_Targaryen', 'Alysanne_Targaryen']| 'fmc':[['Aenys_I_Targaryen', 'Alyssa_Velaryon'], ['Aerea_Targaryen']]| 'love':[]
Aegon_Targaryen_(son_of_Aerys_II):'siblings':['Rhaegar_Targaryen', 'Shaena_Targaryen', 'Daeron_Targaryen', 'Viserys_Targaryen', 'Daenerys_Targaryen']| 'fmc':[['Aerys_II_Targaryen', 'Rhaella_Targaryen'], []]| 'love':[]
Aegon_Targaryen_(Son_of_Baelon):'siblings':['Viserys_I_Targaryen', 'Daemon_Targaryen']| 'fmc':[['Alyssa_Targaryen'], []]| 'love':[]
Aegon_Targaryen_(son_of_Gaemon):'siblings':['Elaena_Targaryen_(daughter_of_Gaemon)']| 'fmc':[['Gaemon_Targaryen_(son_of_Aenar)', 'Daenys_Targaryen'], ['Maegon_Targaryen', 'Aerys_Targaryen_(son_of_Aegon)']]| 'love':[]
Aegon_Targaryen_(son_of_Jaehaerys_I):'siblings':['Daenerys_Targaryen_(Daughter_of_Jaehaerys_I)', 'Alyssa_Targaryen', 'Maegelle_Targaryen', 'Vaegon_Targaryen', 'Daella_Targaryen_(Daughter_of_Jaehaerys_I)', 'Saera_Targaryen', 'Viserra_Targaryen', 'Gaemon_Targaryen_(Son_of_Jaehaerys_I)', 'Valerion_Targaryen', 'Gael_Targaryen']| 'fmc':[['Jaehaerys_I_Targaryen', 'Alysanne_Targaryen'], []]| 'love':[]
Aegon_Targaryen_(son_of_Rhaegar):'siblings':['Rhaenys_Targaryen_(daughter_of_Rhaegar)']| 'fmc':[['Rhaegar_Targaryen', 'Elia_Martell'], []]| 'love':[]
